#1
double	trina(62,10)
#time(s)	irradiance(W/m2)	powerAC(W)	UAC(V)	IAC(A)	powerDC(W)	VDC(V)	IDC(A)	T1(K)	T2(K)
#Start	date	42590
0	0.0	0	225	0.43	0	199	0.08	288.4	288.8
19777	0.0	0	178	0	0	121	0.06	288.1	285.8
21577	0.0	0	178	0	0	121	60	286.8	284.7
21795	0.0	0	225	0.41	0	200	0.06	286.8	284.7
22477	0.0	0	225	0.56	12	213	0.11	287.2	285.0
23377	4.7	7	226	0.56	24	213	0.14	287.0	285.0
24277	4.7	15	225	0.56	32	215	0.18	287.0	285.2
25177	9.4	21	224	0.58	39	215	0.21	287.2	285.4
26077	9.4	27	224	0.6	46	230	0.24	287.4	285.6
26977	14.1	35	225	0.61	56	236	0.27	287.4	285.8
27877	56.3	42	226	0.65	64	252	0.3	287.6	286.1
28777	173.6	54	226	1.78	78	234	1.78	287.9	288.4
29677	225.2	362	224	2.29	414	226	2.44	289.0	290.9
30577	272.1	491	224	2.66	554	224	2.89	290.8	293.3
31477	319.1	579	224	3	650	222	3.32	292.2	294.9
32377	375.4	662	225	3.34	741	220	3.75	293.6	296.6
33277	422.3	744	224	3.67	829	218	4.16	295.1	298.5
34177	473.9	820	224	3.97	912	216	4.56	296.6	300.3
35077	516.1	890	225	4.23	988	214	4.94	298.0	302.0
35977	572.4	957	225	4.49	1063	211	5.35	299.7	304.4
36877	624.0	1020	225	4.74	1133	210	5.68	301.0	306.2
37777	671.0	1078	225	4.96	1196	207	6.04	302.2	307.8
38677	708.5	1128	226	5.12	1252	206	6.3	303.4	309.0
39577	750.7	1171	226	5.29	1299	203	6.6	305.0	310.8
40477	788.3	1212	225	5.44	1345	201	6.84	306.2	312.0
41377	821.1	1242	225	5.56	1379	199	7.08	307.6	313.6
42277	858.7	1272	226	5.67	1412	199	7.24	308.6	314.2
43177	877.4	1298	226	5.74	1442	198	7.37	309.6	315.4
44077	900.9	1320	226	5.83	1466	197	7.51	310.8	316.3
44977	919.6	1337	226	5.91	1485	196	7.66	311.6	317.1
45877	938.4	1355	225	5.97	1507	196	7.74	312.0	317.5
46777	957.2	1367	226	5.96	1520	196	7.73	311.8	317.5
47677	952.5	1370	225	6	1523	196	7.78	312.2	317.9
48577	957.2	1374	225	5.92	1528	195	7.71	312.4	317.9
49477	952.5	1356	226	5.89	1508	196	7.64	313.2	318.1
50377	938.4	1352	226	5.85	1503	196	7.59	313.0	318.1
51277	929.0	1342	225	5.83	1493	198	7.48	313.2	318.1
52177	919.6	1336	226	5.74	1486	198	7.37	312.8	316.7
53077	905.6	1317	226	5.61	1464	198	7.21	313.2	316.7
53977	882.1	1287	227	5.47	1432	199	7.01	313.2	316.3
54877	854.0	1258	226	5.31	1400	199	6.78	313.0	315.6
55777	830.5	1218	226	5.16	1356	202	6.5	313.6	316.7
56677	788.3	1184	226	4.88	1317	201	6.16	313.0	315.0
57577	746.0	1117	226	4.63	1245	202	5.83	313.8	316.9
58477	703.8	1059	226	4.46	1181	203	5.55	314.2	317.3
59377	675.7	1015	226	4.19	1132	206	5.16	313.4	315.8
60277	619.4	955	226	3.92	1067	208	4.76	312.8	314.0
61177	567.7	889	227	3.6	992	209	4.34	312.0	313.4
62077	511.4	814	226	3.28	911	210	3.91	311.6	313.6
62977	459.8	735	227	2.94	825	211	3.48	311.2	313.6
63877	408.2	656	226	2.59	738	213	3.02	310.4	312.8
64777	351.9	569	227	2.2	644	214	2.52	309.6	311.8
65677	290.9	474	226	1.8	541	211	2.04	308.8	310.6
66577	234.6	374	226	1.1	432	171	1.41	308.0	309.8
67477	187.7	204	226	0.52	244	217	0.32	307.8	308.8
68377	126.7	47	226	0.51	71	213	0.29	307.6	307.0
69277	61.0	40	225	0.49	63	201	0.25	305.8	305.0
70177	14.1	30	225	0.49	51	193	0.21	303.4	302.0
71077	9.4	21	226	0.48	42	186	0.16	301.6	299.7
71977	4.7	12	226	0.48	31	178	0.1	300.7	298.7
72877	0.0	0	225	0.22	19	176	0.05	300.1	298.1
73777	0.0	0	226	0	9	83	0.01	299.5	297.6
